2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@61e94def
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@3300f4fd
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@ebb6851
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@70ab2d48
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@5b068087
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@6f152006
2021-06-14 00:14:18 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
2021-06-14 00:14:19 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
2021-06-14 00:14:19 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
2021-06-14 00:14:19 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
2021-06-14 00:14:19 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
2021-06-14 00:14:19 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
2021-06-14 00:14:19 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
2021-06-14 00:14:19 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
2021-06-14 00:14:19 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
2021-06-14 00:14:19 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
2021-06-14 00:14:19 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
2021-06-14 00:14:19 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
2021-06-14 00:14:19 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
2021-06-14 00:14:19 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
2021-06-14 00:14:19 WARN  pooling:72 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2021-06-14 00:14:19 INFO  pooling:115 - HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost/finance_management?serverTimezone=UTC]
2021-06-14 00:14:19 INFO  pooling:121 - HHH10001001: Connection properties: {password=password, user=root}
2021-06-14 00:14:19 INFO  pooling:129 - HHH10001003: Autocommit mode: false
2021-06-14 00:14:19 DEBUG DriverManagerConnectionProviderImpl:384 - Initializing Connection pool with 1 Connections
2021-06-14 00:14:19 INFO  DriverManagerConnectionProviderImpl:274 - HHH000115: Hibernate connection pool size: 20 (min=1)
2021-06-14 00:14:19 DEBUG JdbcEnvironmentInitiator:72 - Database ->
       name : MySQL
    version : 8.0.21
      major : 8
      minor : 0
2021-06-14 00:14:19 DEBUG JdbcEnvironmentInitiator:83 - Driver ->
       name : MySQL Connector/J
    version : mysql-connector-java-8.0.18 (Revision: fef2894d751d47223192b706977b4a5bc41e6be4)
      major : 8
      minor : 0
2021-06-14 00:14:19 DEBUG JdbcEnvironmentInitiator:389 - JDBC version : 4.2
2021-06-14 00:14:19 INFO  Dialect:175 - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2021-06-14 00:14:19 DEBUG IdentifierHelperBuilder:115 - JDBC driver metadata reported database stores quoted identifiers in more than one case
2021-06-14 00:14:19 DEBUG IdentifierHelperBuilder:189 - IdentifierCaseStrategy for both quoted and unquoted identifiers was set to the same strategy [LOWER]; that will likely lead to problems in schema update and validation if using quoted identifiers
2021-06-14 00:14:19 DEBUG Namespace:51 - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
2021-06-14 00:14:19 DEBUG TypeConfiguration$Scope:149 - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@65327f5] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@2adddc06]
2021-06-14 00:14:19 DEBUG AnnotationBinder:558 - Binding entity from annotated class: ua.com.alevel.model.entity.Operation
2021-06-14 00:14:19 DEBUG Ejb3Column:213 - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
2021-06-14 00:14:19 DEBUG EntityBinder:431 - Import with entity name Operation
2021-06-14 00:14:19 DEBUG EntityBinder:874 - Bind entity ua.com.alevel.model.entity.Operation on table operations
2021-06-14 00:14:19 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(operations), mappingColumn=id, insertable=true, updatable=true, unique=false}
2021-06-14 00:14:19 DEBUG ClassLoaderAccessImpl:60 - Not known whether passed class name [ua.com.alevel.model.entity.Operation] is safe
2021-06-14 00:14:19 DEBUG ClassLoaderAccessImpl:62 - No temp ClassLoader provided; using live ClassLoader for loading potentially unsafe class : ua.com.alevel.model.entity.Operation
2021-06-14 00:14:19 DEBUG PropertyBinder:175 - MetadataSourceProcessor property id with lazy=false
2021-06-14 00:14:19 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [ua.com.alevel.model.entity.Operation:id]
2021-06-14 00:14:19 DEBUG SimpleValueBinder:410 - building SimpleValue for id
2021-06-14 00:14:19 DEBUG PropertyBinder:266 - Building property id
2021-06-14 00:14:19 DEBUG BinderHelper:643 - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(id)]), id, identity, , ...)
2021-06-14 00:14:19 DEBUG Ejb3Column:213 - Binding column: Ejb3JoinColumn{logicalColumnName='account_id', referencedColumn='', mappedBy=''}
2021-06-14 00:14:19 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(operations), mappingColumn=account, insertable=true, updatable=true, unique=false}
2021-06-14 00:14:19 DEBUG PropertyBinder:266 - Building property account
2021-06-14 00:14:19 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(operations), mappingColumn=categoryType, insertable=true, updatable=true, unique=false}
2021-06-14 00:14:19 DEBUG PropertyBinder:175 - MetadataSourceProcessor property categoryType with lazy=false
2021-06-14 00:14:19 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [ua.com.alevel.model.entity.Operation:categoryType]
2021-06-14 00:14:19 DEBUG SimpleValueBinder:410 - building SimpleValue for categoryType
2021-06-14 00:14:19 DEBUG PropertyBinder:266 - Building property categoryType
2021-06-14 00:14:19 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(operations), mappingColumn=null, insertable=true, updatable=true, unique=false}
2021-06-14 00:14:19 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(operations), mappingColumn=element, insertable=true, updatable=true, unique=false}
2021-06-14 00:14:19 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(operations), mappingColumn=incomeCategories_KEY, insertable=true, updatable=true, unique=false}
2021-06-14 00:14:19 DEBUG Ejb3Column:213 - Binding column: Ejb3JoinColumn{logicalColumnName='incomeCategories_KEY', referencedColumn='null', mappedBy='null'}
2021-06-14 00:14:19 DEBUG Ejb3Column:213 - Binding column: Ejb3JoinColumn{logicalColumnName='operation_id', referencedColumn='id', mappedBy=''}
2021-06-14 00:14:19 DEBUG Ejb3Column:213 - Binding column: Ejb3JoinColumn{logicalColumnName='in_category_id', referencedColumn='id', mappedBy=''}
2021-06-14 00:14:19 DEBUG CollectionBinder:449 - Collection role: ua.com.alevel.model.entity.Operation.incomeCategories
2021-06-14 00:14:19 DEBUG PropertyBinder:266 - Building property incomeCategories
2021-06-14 00:14:19 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(operations), mappingColumn=null, insertable=true, updatable=true, unique=false}
2021-06-14 00:14:19 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(operations), mappingColumn=element, insertable=true, updatable=true, unique=false}
2021-06-14 00:14:19 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(operations), mappingColumn=outcomeCategories_KEY, insertable=true, updatable=true, unique=false}
2021-06-14 00:14:19 DEBUG Ejb3Column:213 - Binding column: Ejb3JoinColumn{logicalColumnName='outcomeCategories_KEY', referencedColumn='null', mappedBy='null'}
2021-06-14 00:14:19 DEBUG Ejb3Column:213 - Binding column: Ejb3JoinColumn{logicalColumnName='operation_id', referencedColumn='id', mappedBy=''}
2021-06-14 00:14:19 DEBUG Ejb3Column:213 - Binding column: Ejb3JoinColumn{logicalColumnName='out_category_id', referencedColumn='id', mappedBy=''}
2021-06-14 00:14:19 DEBUG CollectionBinder:449 - Collection role: ua.com.alevel.model.entity.Operation.outcomeCategories
2021-06-14 00:14:19 DEBUG PropertyBinder:266 - Building property outcomeCategories
2021-06-14 00:14:19 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(operations), mappingColumn=performed_at, insertable=true, updatable=true, unique=false}
2021-06-14 00:14:19 DEBUG PropertyBinder:175 - MetadataSourceProcessor property performedAt with lazy=false
2021-06-14 00:14:19 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [ua.com.alevel.model.entity.Operation:performedAt]
2021-06-14 00:14:19 DEBUG SimpleValueBinder:410 - building SimpleValue for performedAt
2021-06-14 00:14:19 DEBUG PropertyBinder:266 - Building property performedAt
2021-06-14 00:14:19 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(operations), mappingColumn=turnover, insertable=true, updatable=true, unique=false}
2021-06-14 00:14:19 DEBUG PropertyBinder:175 - MetadataSourceProcessor property turnover with lazy=false
2021-06-14 00:14:19 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [ua.com.alevel.model.entity.Operation:turnover]
2021-06-14 00:14:19 DEBUG SimpleValueBinder:410 - building SimpleValue for turnover
2021-06-14 00:14:19 DEBUG PropertyBinder:266 - Building property turnover
2021-06-14 00:14:19 DEBUG AnnotationBinder:558 - Binding entity from annotated class: ua.com.alevel.model.entity.Account
2021-06-14 00:14:19 DEBUG Ejb3Column:213 - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
2021-06-14 00:14:19 DEBUG EntityBinder:431 - Import with entity name Account
